http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004726.pub2/full | Public health|Education of children and adolescents for the prevention of dog bite injuries|Olivier Duperrex, Karen Blackhall, Mafalda Burri, Emilien Jeannot|2009-04-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006252.pub4/full | Public health|Vision screening of older drivers for preventing road traffic injuries and fatalities|Ediriweera Desapriya, Rahana Harjee, Jeffrey Brubacher, Herbert Chan, D Sesath Hewapathirane, Sayed Subzwari, Ian Pike|2014-02-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008881.pub2/full | Public health|Pre‐employment examinations for preventing injury, disease and sick leave in workers|Frederieke G Schaafsma, Norashikin Mahmud, Michiel F Reneman, Jean‐Baptiste Fassier, Franciscus HW Jungbauer|2016-01-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004728.pub2/full | Public health|Street lighting for preventing road traffic injuries|Fiona R Beyer, Katharine Ker|2009-01-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007825.pub6/full | Public health|Collaboration between local health and local government agencies for health improvement|Sara L Hayes, Mala K Mann, Fiona M Morgan, Mark J Kelly, Alison L Weightman|2012-10-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012292.pub2/full | Public health|Environmental interventions to reduce the consumption of sugar‐sweetened beverages and their effects on health|Peter von Philipsborn, Jan M Stratil, Jacob Burns, Laura K Busert, Lisa M Pfadenhauer, Stephanie Polus, Christina Holzapfel, Hans Hauner, Eva Rehfuess|2019-06-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009888.pub2/full | Public health|Electric fans for reducing adverse health impacts in heatwaves|Saurabh Gupta, Catriona Carmichael, Christina Simpson, Mike J Clarke, Claire Allen, Yang Gao, Emily Y Y Chan, Virginia Murray|2012-07-11
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011247.pub2/full | Public health|Unconditional cash transfers for assistance in humanitarian disasters: effect on use of health services and health outcomes in low‐ and middle‐income countries|Frank Pega, Sze Yan Liu, Stefan Walter, Stefan K Lhachimi|2015-09-11
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008508/full | Public health|Caffeine for the prevention of injuries and errors in shift workers|Katharine Ker, Philip James Edwards, Lambert M Felix, Karen Blackhall, Ian Roberts|2010-05-12
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010246.pub2/full | Public health|School‐based education programmes for the prevention of unintentional injuries in children and young people|Elizabeth Orton, Jessica Whitehead, Jacqueline Mhizha‐Murira, Mandy Clarkson, Michael C Watson, Caroline A Mulvaney, Joy UL Staniforth, Munish Bhuchar, Denise Kendrick|2016-12-27
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004893.pub3/full | Public health|Anticonvulsants for preventing seizures in patients with chronic subdural haematoma|Bernardo O Ratilal, Lia Pappamikail, João Costa, Cristina Sampaio|2013-06-06
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011135.pub2/full | Public health|Unconditional cash transfers for reducing poverty and vulnerabilities: effect on use of health services and health outcomes in low‐ and middle‐income countries|Frank Pega, Sze Yan Liu, Stefan Walter, Roman Pabayo, Ruhi Saith, Stefan K Lhachimi|2017-11-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006955.pub3/full | Public health|Workplace interventions to prevent work disability in workers on sick leave|Myrthe van Vilsteren, Sandra H van Oostrom, Henrica CW de Vet, Renée‐Louise Franche, Cécile RL Boot, Johannes R Anema|2015-10-05
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010187.pub2/full | Public health|Fortification of maize flour with iron for controlling anaemia and iron deficiency in populations|Maria N Garcia‐Casal, Juan Pablo Peña‐Rosas, Luz Maria De‐Regil, Jeffrey A Gwirtz, Sant‐Rayn Pasricha|2018-12-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009170.pub2/full | Public health|Blunt versus sharp suture needles for preventing percutaneous exposure incidents in surgical staff|Annika Saarto, Jos H Verbeek, Marie‐Claude Lavoie, Manisha Pahwa|2011-11-09
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012573.pub3/full | Public health|Altering the availability or proximity of food, alcohol, and tobacco products to change their selection and consumption|Gareth J Hollands, Patrice Carter, Sumayya Anwer, Sarah E King, Susan A Jebb, David Ogilvie, Ian Shemilt, Julian P T Higgins, Theresa M Marteau|2019-09-04
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005401.pub3/full | Public health|Bicycle helmet legislation for the uptake of helmet use and prevention of head injuries|Alison Macpherson, Anneliese Spinks|2008-07-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011695.pub2/full | Public health|Nutritional interventions for preventing stunting in children (birth to 59 months) living in urban slums in low‐ and middle‐income countries (LMIC)|Sophie M Goudet, Barry A Bogin, Nyovani J Madise, Paula L Griffiths|2019-06-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009902.pub2/full | Public health|Fortification of rice with vitamins and minerals for addressing micronutrient malnutrition|Juan Pablo Peña‐Rosas, Prasanna Mithra, Bhaskaran Unnikrishnan, Nithin Kumar, Luz Maria De‐Regil, N Sreekumaran Nair, Maria N Garcia‐Casal, Juan Antonio Solon|2019-10-25
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008366.pub3/full | Public health|Community wide interventions for increasing physical activity|Philip RA Baker, Daniel P Francis, Jesus Soares, Alison L Weightman, Charles Foster|2015-01-05
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005244.pub3/full | Public health|Interventions in the alcohol server setting for preventing injuries|Katharine Ker, Paul Chinnock|2008-07-16
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005242.pub2/full | Public health|Increased police patrols for preventing alcohol‐impaired driving|Cynthia W Goss, Lisa D Van Bramer, Jeffrey A Gliner, Todd R Porter, Ian G Roberts, Carolyn DiGuiseppi|2008-10-08
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD005240.pub2/full | Public health|Motorcycle rider training for the prevention of road traffic crashes|Katina Kardamanidis, Alexandra Martiniuk, Rebecca Q Ivers, Mark R Stevenson, Katrina Thistlethwaite|2010-10-06
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009382.pub2/full | Public health|Interventions to improve water quality and supply, sanitation and hygiene practices, and their effects on the nutritional status of children|Alan D Dangour, Louise Watson, Oliver Cumming, Sophie Boisson, Yan Che, Yael Velleman, Sue Cavill, Elizabeth Allen, Ricardo Uauy|2013-08-01
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009315.pub2/full | Public health|Nutritional labelling for healthier food or non‐alcoholic drink purchasing and consumption|Rachel A Crockett, Sarah E King, Theresa M Marteau, A T Prevost, Giacomo Bignardi, Nia W Roberts, Brendon Stubbs, Gareth J Hollands, Susan A Jebb|2018-02-27
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011683.pub2/full | Public health|Targeted mass media interventions promoting healthy behaviours to reduce risk of non‐communicable diseases in adult, ethnic minorities|Annhild Mosdøl, Ingeborg B Lidal, Gyri H Straumann, Gunn E Vist|2017-02-17
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010351.pub2/full | Public health|Participation in environmental enhancement and conservation activities for health and well‐being in adults: a review of quantitative and qualitative evidence|Kerryn Husk, Rebecca Lovell, Chris Cooper, Will Stahl‐Timmins, Ruth Garside|2016-05-21
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD004607.pub4/full | Public health|Speed cameras for the prevention of road traffic injuries and deaths|Cecilia Wilson, Charlene Willis, Joan K Hendrikz, Robyne Le Brocque, Nicholas Bellamy|2010-11-10
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008570.pub3/full | Public health|Ergonomic interventions for preventing work‐related musculoskeletal disorders of the upper limb and neck among office workers|Victor CW Hoe, Donna M Urquhart, Helen L Kelsall, Eva N Zamri, Malcolm R Sim|2018-10-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD011856.pub2/full | Public health|Impact of institutional smoking bans on reducing harms and secondhand smoke exposure|Kate Frazer, Jack McHugh, Joanne E Callinan, Cecily Kelleher|2016-05-27
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010578.pub2/full | Public health|Community‐based supplementary feeding for food insecure, vulnerable and malnourished populations – an overview of systematic reviews|Janicke Visser, Milla H McLachlan, Nicola Maayan, Paul Garner|2018-11-09
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009963.pub2/full | Public health|In‐work tax credits for families and their impact on health status in adults|Frank Pega, Kristie Carter, Tony Blakely, Patricia J Lucas|2013-08-06
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009905.pub2/full | Public health|Community coalition‐driven interventions to reduce health disparities among racial and ethnic minority populations|Laurie M Anderson, Kathryn L Adeney, Carolynne Shinn, Sarah Safranek, Joyce Buckner‐Brown, L Kendall Krause|2015-06-15
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009927.pub2/full | Public health|Individual‐, family‐, and school‐level interventions targeting multiple risk behaviours in young people|Georgina MacArthur, Deborah M Caldwell, James Redmore, Sarah H Watkins, Ruth Kipping, James White, Catherine Chittleborough, Rebecca Langford, Vanessa Er, Raghu Lingam, Keryn Pasch, David Gunnell, Matthew Hickman, Rona Campbell|2018-10-05
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010919.pub2/full | Public health|Interventions to reduce ambient particulate matter air pollution and their effect on health|Jacob Burns, Hanna Boogaard, Stephanie Polus, Lisa M Pfadenhauer, Anke C Rohwer, Annemoon M van Erp, Ruth Turley, Eva Rehfuess|2019-05-20
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010068.pub2/full | Public health|Fortification of staple foods with vitamin A for vitamin A deficiency|Aditi S Hombali, Juan Antonio Solon, Bhumika T Venkatesh, N Sreekumaran Nair, Juan Pablo Peña‐Rosas|2019-05-10
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD010067.pub2/full | Public health|Slum upgrading strategies involving physical environment and infrastructure interventions and their effects on health and socio‐economic outcomes|Ruth Turley, Ruhi Saith, Nandita Bhan, Eva Rehfuess, Ben Carter|2013-01-31
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD008657.pub2/full | Public health|Housing improvements for health and associated socio‐economic outcomes|Hilary Thomson, Sian Thomas, Eva Sellstrom, Mark Petticrew|2013-02-28
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD001871.pub4/full | Public health|Interventions for preventing obesity in children|Tamara Brown, Theresa HM Moore, Lee Hooper, Yang Gao, Amir Zayegh, Sharea Ijaz, Martha Elwenspoek, Sophie C Foxen, Lucia Magee, Claire O'Malley, Elizabeth Waters, Carolyn D Summerbell|2019-07-23
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD006251.pub4/full | Public health|Interventions to prevent injuries in construction workers|Henk F van der Molen, Prativa Basnet, Peter LT Hoonakker, Marika M Lehtola, Jorma Lappalainen, Monique HW Frings‐Dresen, Roger Haslam, Jos H Verbeek|2018-02-05
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD012487.pub2/full | Public health|Workplace interventions for increasing standing or walking for decreasing musculoskeletal symptoms in sedentary workers|Sharon P Parry, Pieter Coenen, Nipun Shrestha, Peter B O'Sullivan, Christopher G Maher, Leon M Straker|2019-11-19
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD009837.pub3/full | Public health|Community‐based population‐level interventions for promoting child oral health|Andrea M de Silva, Shalika Hegde, Bridget Akudo Nwagbara, Hanny Calache, Mark G Gussy, Mona Nasser, Hannah R Morrice, Elisha Riggs, Pamela M Leong, Lisa K Meyenn, Reza Yousefi‐Nooraie|2016-12-22
http://onlinelibrary.wiley.com/doi/10.1002/14651858.CD007290.pub3/full | Public health|Functional capacity evaluations for the prevention of occupational re‐injuries in injured workers|Norashikin Mahmud, Frederieke G Schaafsma, Jean‐Baptiste Fassier, Jos H Verbeek, Michiel F Reneman|2016-02-24
